# Passive-scalar blob test on flow_cache.h5
# grid 32x32x32, T_final=48.0, dt=7.8100e-03, blob_center=(0.5, 0.5, 0.25), blob_width=0.07

  step        t          min          max         mean          sum       max_loc(z,y,x)
     0   0.0000   1.4571e-33   9.2799e-01   7.5586e-03   1.7687e+02  (15,15, 7)
   128   0.9997   6.5689e-30   6.3285e-01   7.5586e-03   1.7687e+02  (15,14,12)
   256   1.9993   1.5691e-26   3.7309e-01   7.5586e-03   1.7687e+02  (15,13,17)
   384   2.9990   7.1897e-23   1.3117e-01   7.5586e-03   1.7687e+02  (14,11,17)
   512   3.9987   5.8655e-21   4.9620e-02   7.5586e-03   1.7687e+02  (16,25, 6)
   640   4.9984   9.3491e-19   3.6324e-02   7.5586e-03   1.7687e+02  (17,24, 5)
   768   5.9980   6.6347e-17   2.8615e-02   7.5586e-03   1.7687e+02  ( 2,30,10)
   896   6.9977   1.2738e-15   2.3449e-02   7.5586e-03   1.7687e+02  ( 2,30, 9)
  1024   7.9974   3.4729e-14   2.0081e-02   7.5586e-03   1.7687e+02  ( 1,30,10)
  1152   8.9971   9.5356e-13   1.8200e-02   7.5586e-03   1.7687e+02  ( 1,30, 9)
  1280   9.9967   1.4889e-11   1.5653e-02   7.5586e-03   1.7687e+02  ( 1,30, 9)
  1408  10.9964   7.9798e-11   1.4362e-02   7.5586e-03   1.7687e+02  ( 1,18,30)
  1536  11.9961   4.5628e-10   1.3119e-02   7.5586e-03   1.7687e+02  ( 1,18,30)
  1664  12.9958   2.5542e-09   1.2434e-02   7.5586e-03   1.7687e+02  ( 1,17, 3)
  1792  13.9954   1.2821e-08   1.2094e-02   7.5586e-03   1.7687e+02  ( 1,25, 3)
  1920  14.9951   4.9975e-08   1.1829e-02   7.5586e-03   1.7687e+02  ( 1,17, 3)
  2048  15.9948   1.1869e-07   1.1556e-02   7.5586e-03   1.7687e+02  ( 1,16, 3)
  2176  16.9945   2.6405e-07   1.1338e-02   7.5586e-03   1.7687e+02  ( 1,18, 2)
  2304  17.9941   5.5680e-07   1.1163e-02   7.5586e-03   1.7687e+02  ( 1,18, 2)
  2432  18.9938   1.1196e-06   1.0951e-02   7.5586e-03   1.7687e+02  ( 1,17, 2)
  2560  19.9935   2.1511e-06   1.0738e-02   7.5586e-03   1.7687e+02  ( 1,17, 2)
  2688  20.9932   3.9508e-06   1.0589e-02   7.5586e-03   1.7687e+02  (10,13, 1)
  2816  21.9928   6.9396e-06   1.0467e-02   7.5586e-03   1.7687e+02  ( 9,11, 1)
  2944  22.9925   1.1671e-05   1.0383e-02   7.5586e-03   1.7687e+02  (10,12, 1)
  3072  23.9922   1.8426e-05   1.0256e-02   7.5586e-03   1.7687e+02  (10,12, 1)
  3200  24.9919   2.3756e-05   1.0102e-02   7.5586e-03   1.7687e+02  ( 2,11, 1)
  3328  25.9915   3.1550e-05   1.0006e-02   7.5586e-03   1.7687e+02  ( 2,11, 1)
  3456  26.9912   4.2535e-05   9.9381e-03   7.5586e-03   1.7687e+02  ( 2,10, 1)
  3584  27.9909   5.7506e-05   9.8534e-03   7.5586e-03   1.7687e+02  ( 2,10, 1)
  3712  28.9906   7.7303e-05   9.7338e-03   7.5586e-03   1.7687e+02  ( 2,10, 1)
  3840  29.9902   1.0278e-04   9.6432e-03   7.5586e-03   1.7687e+02  ( 2, 9, 1)
  3968  30.9899   1.3477e-04   9.5877e-03   7.5586e-03   1.7687e+02  ( 2, 9, 1)
  4096  31.9896   1.7406e-04   9.5011e-03   7.5586e-03   1.7687e+02  ( 2, 9, 1)
  4224  32.9893   2.2137e-04   9.3939e-03   7.5586e-03   1.7687e+02  ( 2, 9, 1)
  4352  33.9889   2.7734e-04   9.2745e-03   7.5586e-03   1.7687e+02  ( 2, 9, 1)
  4480  34.9886   3.4248e-04   9.1673e-03   7.5586e-03   1.7687e+02  ( 1,14, 1)
  4608  35.9883   4.1718e-04   9.1214e-03   7.5586e-03   1.7687e+02  ( 1,13, 1)
  4736  36.9880   5.0173e-04   9.0713e-03   7.5586e-03   1.7687e+02  ( 1,13, 1)
  4864  37.9876   5.9627e-04   9.0121e-03   7.5586e-03   1.7687e+02  ( 1,12, 1)
  4992  38.9873   7.0083e-04   8.9737e-03   7.5586e-03   1.7687e+02  ( 1,12, 1)
  5120  39.9870   8.1530e-04   8.9218e-03   7.5586e-03   1.7687e+02  ( 1,12, 1)
  5248  40.9867   9.3947e-04   8.8603e-03   7.5586e-03   1.7687e+02  ( 1,11, 1)
  5376  41.9863   1.0730e-03   8.8249e-03   7.5586e-03   1.7687e+02  ( 1,11, 1)
  5504  42.9860   1.2156e-03   8.7788e-03   7.5586e-03   1.7687e+02  ( 1,11, 1)
  5632  43.9857   1.3667e-03   8.7247e-03   7.5586e-03   1.7687e+02  ( 1,11, 1)
  5760  44.9854   1.5258e-03   8.6651e-03   7.5586e-03   1.7687e+02  ( 1,11, 1)
  5888  45.9850   1.6922e-03   8.6302e-03   7.5586e-03   1.7687e+02  ( 1,10, 1)
  6016  46.9847   1.8653e-03   8.5893e-03   7.5586e-03   1.7687e+02  ( 1,10, 1)
  6144  47.9844   2.0445e-03   8.5432e-03   7.5586e-03   1.7687e+02  ( 1,10, 1)
  6146  48.0000   2.0473e-03   8.5424e-03   7.5586e-03   1.7687e+02  ( 1,10, 1)

# total fluid mass: t=0  1.768716e+02
# total fluid mass: t=T  1.768716e+02
# drift fraction       : +0.0000%
# c_max history (final / initial): 0.0092
